股票代码,股票名称,信号日,实际买入日,买入价,买点,MA5,MA10,MA20,MA60,20日动量,60日动量,换手率,入场评分,条件复核,买入原因,卖出日,卖出价,卖出原因,持仓日数,收益率,盈亏,盈亏金额
001896.SZ,豫能控股,2026-03-24,2026-03-25,16.66,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,15.49,15.444,14.735,9.0785,0.684945,2.188679,1469.164185,65.67,True,MA5>MA10>MA20>MA60；20日动量68.49%；当日评分65.67，评分排序最多持4只,2026-03-26,15.3272,8%固定止损,1,-0.081287,亏损,-20192.35
301658.SZ,首航新能,2026-03-24,2026-03-25,57.8675,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,55.7982,52.4888,43.883,35.2132,0.85387,1.04858,2126.688232,53.89,True,MA5>MA10>MA20>MA60；20日动量85.39%；当日评分53.89，评分排序最多持4只,2026-03-27,53.1882,8%固定止损,2,-0.082148,亏损,-17601.0
600396.SH,华电辽能,2026-03-24,2026-03-25,8.01,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,6.318,5.246,4.3335,3.4562,1.361371,1.587031,1607.443481,70.88,True,MA5>MA10>MA20>MA60；20日动量136.14%；当日评分70.88，评分排序最多持4只,2026-03-26,8.96,5.5%固定止盈,1,0.117037,盈利,29175.56
600821.SH,金开新能,2026-03-24,2026-03-25,11.42,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,10.68,10.465,9.163,6.7485,0.647321,1.137066,3118.26001,58.15,True,MA5>MA10>MA20>MA60；20日动量64.73%；当日评分58.15，评分排序最多持4只,2026-03-26,10.5064,8%固定止损,1,-0.081287,亏损,-18950.55
000890.SZ,法尔胜,2026-03-25,2026-03-26,13.31,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,13.336,12.707,10.6545,7.1845,0.866941,1.334477,2116.762939,58.33,True,MA5>MA10>MA20>MA60；20日动量86.69%；当日评分58.33，评分排序最多持4只,2026-03-30,14.0421,5.5%固定止盈,2,0.053524,盈利,13260.01
301396.SZ,宏景科技,2026-03-25,2026-03-26,114.195,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,114.7845,112.6969,94.1156,70.2391,0.822383,1.660543,1158.812744,57.68,True,MA5>MA10>MA20>MA60；20日动量82.24%；当日评分57.68，评分排序最多持4只,2026-04-01,120.4757,5.5%固定止盈,4,0.053524,盈利,12844.55
600726.SH,华电能源,2026-03-25,2026-03-26,6.21,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,5.52,4.896,3.8865,2.9665,1.329545,1.510204,618.041077,60.71,True,MA5>MA10>MA20>MA60；20日动量132.95%；当日评分60.71，评分排序最多持4只,2026-03-27,6.5516,5.5%固定止盈,1,0.053524,盈利,13371.2
600396.SH,华电辽能,2026-03-26,2026-03-27,9.23,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,7.59,6.166,4.87,3.6443,1.715596,1.989899,2343.286133,86.89,True,MA5>MA10>MA20>MA60；20日动量171.56%；当日评分86.89，评分排序最多持4只,2026-03-30,8.46,8%固定止损,1,-0.084706,亏损,-20576.66
600666.SH,奥瑞德,2026-03-26,2026-03-27,5.32,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,4.872,4.611,4.31,3.8435,0.392947,0.665663,4148.34668,50.9,True,MA5>MA10>MA20>MA60；20日动量39.29%；当日评分50.90，评分排序最多持4只,2026-03-30,5.8,5.5%固定止盈,1,0.0887,盈利,15913.68
301292.SZ,海科新源,2026-03-27,2026-03-30,98.11,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,76.464,70.299,64.01,60.1965,0.648237,0.608587,3614.572266,46.53,True,MA5>MA10>MA20>MA60；20日动量64.82%；当日评分46.53，评分排序最多持4只,2026-04-01,90.2612,8%固定止损,2,-0.081287,亏损,-17557.45
