symbol,name,industry_current,base_signal_date,base_rank,base_score,auction_trade_date,auction_price,pre_close,auction_gap,auction_volume,auction_amount,auction_turnover_rate,auction_volume_ratio,auction_status,auction_reasons,portfolio_selected,portfolio_reason
603882.SH,金域医学,医疗保健,2026-08-07,1,62.446,20260810,29.16,28.97,0.006558508802209317,171700.0,5006772.0,0.0373152,2.28535,CONFIRMED,昨收质量信号有效，竞价价格、成交额和量比通过固定确认规则,True,
300347.SZ,泰格医药,医疗保健,2026-08-07,2,58.5262,20260810,55.13,54.35,0.014351425942962237,261600.0,14422008.0,0.0461803,1.26532,CONFIRMED,昨收质量信号有效，竞价价格、成交额和量比通过固定确认规则,True,
603979.SH,金诚信,铜,2026-08-07,3,58.2516,20260810,79.24,79.19,0.0006313928526329171,32100.0,2543604.0,0.00514594,0.346509,WATCH,竞价量比0.35低于0.50,False,
600267.SH,海正药业,化学制药,2026-08-07,4,57.024,20260810,13.87,13.11,0.05797101449275366,5480200.0,76010374.0,0.464317,11.4913,REJECT_CHASE,竞价高开5.80%，超过追高上限5.00%,False,
002832.SZ,比音勒芬,服饰,2026-08-07,5,56.5528,20260810,24.58,24.62,-0.0016246953696182898,74000.0,1818920.0,0.0190027,0.396969,WATCH,竞价量比0.40低于0.50,False,
600882.SH,妙可蓝多,乳制品,2026-08-07,6,56.1517,20260810,22.36,22.36,0.0,35900.0,802724.0,0.00706062,0.38561,WATCH,"竞价成交额802,724低于1,000,000；竞价量比0.39低于0.50",False,
000739.SZ,普洛药业,化学制药,2026-08-07,7,55.8166,20260810,24.37,23.41,0.04100811618966249,981445.0,23917814.65,0.0847549,3.35184,WATCH,"竞价涨跌幅4.10%不在确认区间[-1.00%, 3.00%]",False,
002412.SZ,汉森制药,中成药,2026-08-07,8,55.6342,20260810,7.22,7.27,-0.00687757909215958,337800.0,2438916.0,0.0678524,1.02657,CONFIRMED,昨收质量信号有效，竞价价格、成交额和量比通过固定确认规则,True,
603087.SH,甘李药业,生物制药,2026-08-07,9,54.9882,20260810,69.69,69.69,0.0,64400.0,4488036.0,0.0114763,0.687474,CONFIRMED,昨收质量信号有效，竞价价格、成交额和量比通过固定确认规则,True,
600352.SH,浙江龙盛,染料涂料,2026-08-07,10,54.7722,20260810,13.15,13.17,-0.0015186028853454436,171400.0,2253910.0,0.00526845,0.269369,WATCH,竞价量比0.27低于0.50,False,
003013.SZ,地铁设计,建筑工程,2026-08-07,11,51.6526,20260810,18.81,19.18,-0.01929092805005217,170700.0,3210867.0,0.0424124,1.78975,WATCH,"竞价涨跌幅-1.93%不在确认区间[-1.00%, 3.00%]",False,
