rank,symbol,name,decision,score,first_board_date,first_board_amount,auction_trade_date,auction_price,auction_amount,auction_amount_ratio,auction_gap,ma5,ma10,ma20,ma60,ma_bullish_rising,cross_count,crossed_mas,score_components,failure_reasons,feedback
,600267.SH,海正药业,REJECTED,70.0,2026-08-07,731855689.0,20260810,13.87,76010374.0,0.10385978430236675,0.05797101449275366,12.122,11.913,11.9035,10.719140285760984,True,3,MA5/MA10/MA20,"{""auction_amount_ratio"": 30.0, ""auction_gap"": 0.0, ""ma_bullish_rising"": 20.0, ""single_candle_cross"": 20.0}","竞价涨幅5.80%不在[6%, 8%]",null
,001296.SZ,长江材料,REJECTED,70.0,2026-08-07,104254134.69999999,20260810,19.88,9649752.0,0.0925598972910568,-0.0030090270812438424,18.23,17.552,17.2305,18.99316480669928,True,2,MA5/MA60,"{""auction_amount_ratio"": 30.0, ""auction_gap"": 0.0, ""ma_bullish_rising"": 20.0, ""single_candle_cross"": 20.0}","竞价涨幅-0.30%不在[6%, 8%]",null
,002742.SZ,冀衡医药,REJECTED,50.0,2026-08-07,73389971.0,20260810,4.17,7000596.0,0.0953890007668759,0.009685230024213176,3.786,3.618,3.537,3.716972822141253,True,1,MA5,"{""auction_amount_ratio"": 30.0, ""auction_gap"": 0.0, ""ma_bullish_rising"": 20.0, ""single_candle_cross"": 0.0}","竞价涨幅0.97%不在[6%, 8%]",null
,002900.SZ,哈三联,REJECTED,50.0,2026-08-07,414891610.0,20260810,14.3,21307000.0,0.051355581762668086,0.060830860534124565,12.422,12.245000000000001,11.5545,10.598500000000001,True,1,MA5,"{""auction_amount_ratio"": 0.0, ""auction_gap"": 30.0, ""ma_bullish_rising"": 20.0, ""single_candle_cross"": 0.0}",竞价成交额占比5.14%低于8%,null
,301230.SZ,泓博医药,REJECTED,50.0,2026-08-07,757602236.4000001,20260810,34.68,30130920.36,0.03977142478245197,0.06971005552128307,27.596000000000004,25.918,27.379464265341046,27.64270825523592,False,3,MA5/MA20/MA60,"{""auction_amount_ratio"": 0.0, ""auction_gap"": 30.0, ""ma_bullish_rising"": 0.0, ""single_candle_cross"": 20.0}",竞价成交额占比3.98%低于8%；未满足MA5>MA10>MA20且三线同步向上,null
,603102.SH,百合股份,REJECTED,40.0,2026-08-07,77628320.0,20260810,36.0,5929200.0,0.07637934197210502,-0.04025593175153286,34.708,33.562,32.833999999999996,34.352,True,2,MA5/MA60,"{""auction_amount_ratio"": 0.0, ""auction_gap"": 0.0, ""ma_bullish_rising"": 20.0, ""single_candle_cross"": 20.0}","竞价成交额占比7.64%低于8%；竞价涨幅-4.03%不在[6%, 8%]",null
,603758.SH,秦安股份,REJECTED,40.0,2026-08-07,86291752.0,20260810,11.0,5871800.0,0.06804590084113717,0.04961832061068705,9.642,9.349,9.177,10.155000000000001,True,2,MA5/MA60,"{""auction_amount_ratio"": 0.0, ""auction_gap"": 0.0, ""ma_bullish_rising"": 20.0, ""single_candle_cross"": 20.0}","竞价成交额占比6.80%低于8%；竞价涨幅4.96%不在[6%, 8%]",null
,002589.SZ,瑞康医药,REJECTED,40.0,2026-08-07,476503273.0,20260810,3.17,29466101.0,0.06183819224259557,0.042763157894736725,2.828,2.779,2.7515,2.7431666666666668,True,4,MA5/MA10/MA20/MA60,"{""auction_amount_ratio"": 0.0, ""auction_gap"": 0.0, ""ma_bullish_rising"": 20.0, ""single_candle_cross"": 20.0}","竞价成交额占比6.18%低于8%；竞价涨幅4.28%不在[6%, 8%]",null
,300986.SZ,志特新材,REJECTED,40.0,2026-08-07,1096398357.1,20260810,15.5,56261900.0,0.05131519911140152,0.04729729729729715,12.514000000000001,11.451,10.868500000000001,12.571366877423111,True,2,MA5/MA60,"{""auction_amount_ratio"": 0.0, ""auction_gap"": 0.0, ""ma_bullish_rising"": 20.0, ""single_candle_cross"": 20.0}","竞价成交额占比5.13%低于8%；竞价涨幅4.73%不在[6%, 8%]",null
,301234.SZ,五洲医疗,REJECTED,40.0,2026-08-07,548745851.5,20260810,82.3,19887548.1,0.03624181949738166,-0.01578569720162648,71.95,71.09799999999998,55.041,44.454850047393364,True,2,MA5/MA10,"{""auction_amount_ratio"": 0.0, ""auction_gap"": 0.0, ""ma_bullish_rising"": 20.0, ""single_candle_cross"": 20.0}","竞价成交额占比3.62%低于8%；竞价涨幅-1.58%不在[6%, 8%]",null
