signal_date,variant,rank,symbol,name,score,return_1d_net,return_3d_net,return_5d_net,return_10d_net
2024-09-24,quality_momentum,1,603529.SH,,1.0,0.01311954,0.08881792,0.0554746,-0.02364329
2024-09-24,quality_momentum,2,601628.SH,,0.99709302,0.00874678,0.09338878,,0.12399833
2024-09-24,quality_momentum,3,000521.SZ,,0.99418604,-0.0250823,0.08345294,0.12349509,-0.07250068
2024-09-24,quality_momentum,4,601100.SH,,0.99127907,-0.02319627,0.10087778,0.2325445,0.02587776
2024-09-24,quality_momentum,5,002659.SZ,,0.98837209,,,,
2024-09-24,quality_momentum,6,300274.SZ,,0.98546511,-0.01244257,0.14081028,0.43767323,0.15533845
2024-09-24,quality_momentum,7,000546.SZ,,0.98255813,-0.005761,0.08883365,,0.02512709
2024-09-24,quality_momentum,8,002321.SZ,,0.97965115,-0.01829349,0.03635133,,-0.02375797
2024-09-24,quality_momentum,9,002444.SZ,,0.97674417,-0.01728458,0.08109413,0.14426877,0.04282834
2024-09-24,quality_momentum,10,002647.SZ,,0.9738372,-0.02222527,0.14037633,0.38021378,0.35988851
2024-09-24,quality_momentum,11,001319.SZ,,0.97093022,0.00136447,0.0846071,,0.05794763
2024-09-24,quality_momentum,12,002309.SZ,,0.96802324,0.02827249,-0.03638272,-0.12258965,-0.139831
2024-09-24,quality_momentum,13,603991.SH,,0.96511626,-0.00400284,0.15838036,0.27263265,
2024-09-24,quality_momentum,14,600536.SH,,0.96220928,0.00614132,0.14686509,0.31630798,0.11814596
2024-09-24,quality_momentum,15,600375.SH,,0.95930231,0.02857615,0.02667139,-0.04189998,-0.03809045
2024-09-24,quality_momentum,16,300598.SZ,,0.95639533,0.05512524,0.30997537,0.70297946,0.73707702
2024-09-24,quality_momentum,17,688692.SH,,0.95348835,-0.01080214,0.16707686,0.44645576,0.22183077
2024-09-24,quality_momentum,18,600718.SH,,0.95058137,-0.01077896,0.08245071,0.21896573,0.07024205
2024-09-24,quality_momentum,19,002261.SZ,,0.94767439,0.05077063,0.18578552,0.48177956,0.48177956
2024-09-24,quality_momentum,20,600208.SH,,0.94476742,0.02414171,0.3783084,0.48247497,0.3783084
2024-09-25,quality_momentum,1,002321.SZ,,1.0,0.02587782,0.21476673,0.02587782,-0.0019
2024-09-25,quality_momentum,2,600375.SH,,0.9976415,-0.00929364,0.03691709,-0.04626229,-0.08138241
2024-09-25,quality_momentum,3,000546.SZ,,0.99528301,0.03104575,0.26747991,0.07949537,0.03685975
2024-09-25,quality_momentum,4,601628.SH,,0.99292451,0.04076524,0.27279051,0.13794722,0.17139472
2024-09-25,quality_momentum,5,000521.SZ,,0.99056602,0.06066742,0.29044082,0.03909245,-0.02563247
2024-09-25,quality_momentum,6,603991.SH,,0.98820752,,,,
2024-09-25,quality_momentum,7,603529.SH,,0.98584908,0.05758497,0.18898483,-0.01285,-0.01838879
2024-09-25,quality_momentum,8,002866.SZ,,0.98349059,0.01858023,0.26151811,0.08002092,0.06519044
2024-09-25,quality_momentum,9,601100.SH,,0.98113209,0.01985967,0.30935817,0.17406968,0.04653895
2024-09-25,quality_momentum,10,002468.SZ,,0.97877359,0.03939793,0.2429377,0.07774598,0.09741169
2024-09-25,quality_momentum,11,300231.SZ,,0.9764151,0.08143328,0.70945271,0.56814827,0.55607094
2024-09-25,quality_momentum,12,301259.SZ,,0.9740566,0.00949286,0.34944137,0.16127526,0.30129735
2024-09-25,quality_momentum,13,603389.SH,,0.97169811,0.07228857,0.25157757,0.02592076,0.18202582
2024-09-25,quality_momentum,14,301321.SZ,,0.96933961,0.04599549,0.4277082,0.19621325,0.17008838
2024-09-25,quality_momentum,15,000678.SZ,,0.96698111,0.05400062,0.29830711,0.08919733,0.08712698
2024-09-25,quality_momentum,16,300006.SZ,,0.96462262,0.0357712,0.44673009,0.43645607,0.28234653
2024-09-25,quality_momentum,17,002303.SZ,,0.96226418,0.06754443,0.30018331,0.11615554,0.10226669
2024-09-25,quality_momentum,18,002659.SZ,,0.95990568,-0.018994,0.20109152,0.0173308,0.0151941
2024-09-25,quality_momentum,19,600336.SH,,0.95754719,,,,
2024-09-25,quality_momentum,20,002591.SZ,,0.95518869,0.0115529,0.24473675,0.07433322,0.08330182
2024-09-26,quality_momentum,1,601319.SH,,1.0,0.02911922,,0.05718425,0.04832159
2024-09-26,quality_momentum,2,002480.SZ,,0.99820787,0.01989169,,-0.0019,0.09253096
2024-09-26,quality_momentum,3,002595.SZ,,0.99641579,-0.00973231,0.08056943,0.08287309,0.08310342
2024-09-26,quality_momentum,4,603529.SH,,0.99462366,0.01234587,-0.0186597,-0.13569884,-0.08179075
2024-09-26,quality_momentum,5,603444.SH,,0.99283153,0.0869785,0.19169809,0.13127752,0.03735231
2024-09-26,quality_momentum,6,601628.SH,,0.99103945,0.03750391,,0.07412934,0.07513963
2024-09-26,quality_momentum,7,000521.SZ,,0.98924732,0.04378522,0.08236391,-0.04250914,-0.08007264
2024-09-26,quality_momentum,8,600415.SH,,0.98745519,0.02351441,0.11743704,0.158321,0.18705036
2024-09-26,quality_momentum,9,002321.SZ,,0.98566306,0.025127,,0.025127,-0.06135947
2024-09-26,quality_momentum,10,603389.SH,,0.98387098,0.0412655,,-0.02348268,0.01392736
2024-09-26,quality_momentum,11,300011.SZ,,0.98207885,0.0631887,0.36200531,0.34425386,0.20076269
2024-09-26,quality_momentum,12,002444.SZ,,0.98028672,0.06042293,0.12239175,0.07954477,-0.0057952
2024-09-26,quality_momentum,13,601601.SH,,0.97849464,0.04753502,,0.04866503,0.0432978
2024-09-26,quality_momentum,14,601100.SH,,0.97670251,0.10087778,0.2325445,0.13180372,0.00476666
2024-09-26,quality_momentum,15,600715.SH,,0.97491038,-0.02103875,-0.07367028,-0.16457937,-0.07367028
2024-09-26,quality_momentum,16,000651.SZ,,0.97311831,0.00674361,0.11622936,0.09872054,0.02846338
2024-09-26,quality_momentum,17,688603.SH,,0.97132617,0.03568064,0.32068067,0.31745486,0.30358391
2024-09-26,quality_momentum,18,600520.SH,,0.96953404,0.08562621,,,0.66948362
2024-09-26,quality_momentum,19,300002.SZ,,0.96774191,0.1092111,0.3869889,0.184608,0.2371873
2024-09-26,quality_momentum,20,002468.SZ,,0.96594983,0.04531434,0.07458721,0.04814724,0.02548427
2024-09-27,quality_momentum,1,002444.SZ,,1.0,,,,
2024-09-27,quality_momentum,2,002480.SZ,,0.99863946,0.13791047,-0.04218427,-0.01137866,0.06445077
2024-09-27,quality_momentum,3,300011.SZ,,0.99727893,0.33421113,0.14532228,0.19532223,0.17865558
2024-09-27,quality_momentum,4,601100.SH,,0.99591839,,,,
2024-09-27,quality_momentum,5,600715.SH,,0.9945578,0.04688052,-0.09946096,-0.08970483,-0.04092439
2024-09-27,quality_momentum,6,600316.SH,,0.99319726,0.13734575,0.04451525,-0.01847688,0.17091392
2024-09-27,quality_momentum,7,002468.SZ,,0.99183673,0.13966894,-0.01181887,0.0269548,0.00080517
2024-09-27,quality_momentum,8,000651.SZ,,0.99047619,0.15674643,0.05654867,0.06731549,0.03743201
2024-09-27,quality_momentum,9,002606.SZ,,0.98911566,0.14441583,0.08546846,0.09283687,0.12862636
2024-09-27,quality_momentum,10,300150.SZ,,0.98775512,0.31678133,0.13820988,0.08601207,0.16568238
2024-09-27,quality_momentum,11,688163.SH,,0.98639458,0.18414659,0.04926287,0.1114721,0.12949538
2024-09-27,quality_momentum,12,002312.SZ,,0.98503399,0.1551964,0.06527227,-0.01598455,0.11077598
2024-09-27,quality_momentum,13,000521.SZ,,0.98367345,0.1612068,-0.06500675,-0.11937568,-0.07180291
2024-09-27,quality_momentum,14,600520.SH,,0.98231292,0.1523169,,,0.68870248
2024-09-27,quality_momentum,15,002012.SZ,,0.98095238,,,,
2024-09-27,quality_momentum,16,000068.SZ,,0.97959185,0.15327241,-0.0363828,-0.0794862,-0.04787704
2024-09-27,quality_momentum,17,002861.SZ,,0.97823131,0.16622748,0.00606812,-0.01385222,0.01802034
2024-09-27,quality_momentum,18,600375.SH,,0.97687078,0.03884083,-0.04449259,-0.06115919,-0.07597404
2024-09-27,quality_momentum,19,002819.SZ,,0.97551018,0.13429944,0.15091793,-0.00876415,0.13718957
2024-09-27,quality_momentum,20,601318.SH,,0.97414964,,,,
2024-09-30,quality_momentum,1,002294.SZ,,1.0,-0.08273989,-0.065942,-0.08195243,-0.0399577
2024-09-30,quality_momentum,2,000913.SZ,,0.99719888,,-0.12719773,-0.10957028,-0.14911294
2024-09-30,quality_momentum,3,603112.SH,,0.99439776,-0.03751457,-0.12480508,-0.11223523,-0.14156484
2024-09-30,quality_momentum,4,600936.SH,,0.99159664,,-0.14475716,-0.14143491,-0.10821227
2024-09-30,quality_momentum,5,600415.SH,,0.98879552,-0.04803937,-0.01319946,0.01504914,0.08849547
2024-09-30,quality_momentum,6,002595.SZ,,0.9859944,-0.07889865,-0.07693436,-0.06966665,-0.04845273
2024-09-30,quality_momentum,7,002444.SZ,,0.98319328,-0.08134334,-0.11642593,-0.13411225,-0.1813723
2024-09-30,quality_momentum,8,002933.SZ,,0.98039216,-0.05443278,-0.11884805,-0.12635276,-0.09195624
2024-09-30,quality_momentum,9,002922.SZ,,0.97759104,,-0.17106668,-0.21439999,-0.23189999
2024-09-30,quality_momentum,10,600062.SH,,0.97478992,-0.07508009,-0.10573143,-0.11071228,-0.08925634
2024-09-30,quality_momentum,11,002597.SZ,,0.9719888,-0.12007525,-0.14809252,-0.15779076,-0.16138272
2024-09-30,quality_momentum,12,603118.SH,,0.96918768,,-0.13267794,-0.14169708,-0.07743555
