signal_date,symbol,name,decision,rank,quality_score,base_percentile,factor_raw_score,combined_score,reasons
2026-08-10,000001.SZ,,rejected_signal,,30.898857,,1.0789516,,未满足 MA5>MA10>MA20>MA60
2026-08-10,000002.SZ,,rejected_signal,,21.732988,,1.04704106,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000004.SZ,,rejected_universe,,0.0,,0.0,,不在当日动态股票池(停牌/未上市/已退市/当前ST代理过滤)
2026-08-10,000006.SZ,,rejected_signal,,9.738423,,0.85501903,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000007.SZ,,rejected_signal,,10.261435,,0.77359605,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000008.SZ,,rejected_signal,,4.943951,,1.08237863,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000009.SZ,,rejected_signal,,29.766243,,1.14925241,,未满足 MA5>MA10>MA20>MA60; 20日涨幅过热; 60日趋势强度不足; 偏离MA20过远，追高风险
2026-08-10,000010.SZ,,rejected_universe,,0.0,,0.88495612,,不在当日动态股票池(停牌/未上市/已退市/当前ST代理过滤)
2026-08-10,000011.SZ,,rejected_signal,,42.185059,,1.09819853,,60日趋势强度不足
2026-08-10,000012.SZ,,rejected_signal,,6.65218,,0.94845456,,未满足 MA5>MA10>MA20>MA60; 20日动量低于门槛; 60日趋势强度不足
2026-08-10,000014.SZ,,rejected_signal,,30.811859,,1.021263,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000016.SZ,,rejected_universe,,16.090574,,0.93064708,,不在当日动态股票池(停牌/未上市/已退市/当前ST代理过滤)
2026-08-10,000017.SZ,,rejected_rank,76,36.829941,0.13793103,1.07437027,0.20689654,"信号有效, 但综合排名未进入 Top20"
2026-08-10,000019.SZ,,rejected_signal,,11.823439,,1.00445163,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000020.SZ,,rejected_signal,,11.355392,,0.95163256,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000021.SZ,,rejected_signal,,6.607368,,0.75776577,,未满足 MA5>MA10>MA20>MA60; 收盘价低于MA20; 20日动量低于门槛; 20日年化波动过高
2026-08-10,000023.SZ,,rejected_universe,,0.0,,0.0,,不在当日动态股票池(停牌/未上市/已退市/当前ST代理过滤)
2026-08-10,000025.SZ,,rejected_signal,,38.485352,,1.07800364,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000026.SZ,,rejected_signal,,12.445142,,0.74241346,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000027.SZ,,rejected_signal,,13.265291,,0.97830206,,未满足 MA5>MA10>MA20>MA60; 收盘价低于MA20; 60日趋势强度不足
2026-08-10,000028.SZ,,rejected_signal,,14.879431,,1.03202486,,未满足 MA5>MA10>MA20>MA60; 收盘价低于MA20; 20日动量低于门槛; 60日趋势强度不足
2026-08-10,000029.SZ,,rejected_signal,,6.326241,,0.86091799,,未满足 MA5>MA10>MA20>MA60; 20日动量低于门槛; 60日趋势强度不足
2026-08-10,000030.SZ,,rejected_signal,,18.828526,,1.03174508,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000031.SZ,,rejected_signal,,22.103275,,0.9742859,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000032.SZ,,rejected_signal,,0.0,,0.6811009,,未满足 MA5>MA10>MA20>MA60; 收盘价低于MA20; 20日动量低于门槛; 60日趋势强度不足
2026-08-10,000034.SZ,,rejected_signal,,6.565382,,0.90613955,,未满足 MA5>MA10>MA20>MA60; 收盘价低于MA20; 20日动量低于门槛; 60日趋势强度不足
2026-08-10,000035.SZ,,rejected_signal,,20.184246,,1.00705588,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000036.SZ,,rejected_signal,,0.690074,,0.86245596,,未满足 MA5>MA10>MA20>MA60; 20日动量低于门槛; 60日趋势强度不足
2026-08-10,000037.SZ,,rejected_signal,,24.68063,,1.01948512,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000039.SZ,,rejected_signal,,32.2938,,0.97088963,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000040.SZ,,rejected_universe,,0.0,,0.0,,不在当日动态股票池(停牌/未上市/已退市/当前ST代理过滤)
2026-08-10,000042.SZ,,rejected_signal,,14.127815,,0.92449117,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000045.SZ,,rejected_signal,,11.566015,,0.94161433,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000048.SZ,,rejected_signal,,27.30652,,0.97029024,,20日动量低于门槛
2026-08-10,000049.SZ,,rejected_signal,,15.950809,,1.00986731,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000050.SZ,,rejected_signal,,5.436467,,0.8305102,,未满足 MA5>MA10>MA20>MA60; 20日动量低于门槛; 60日趋势强度不足
2026-08-10,000055.SZ,,rejected_signal,,28.102619,,0.99806309,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000056.SZ,,rejected_universe,,39.917904,,1.04286814,,不在当日动态股票池(停牌/未上市/已退市/当前ST代理过滤)
2026-08-10,000058.SZ,,rejected_signal,,26.964737,,1.05813944,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000059.SZ,,rejected_signal,,34.468956,,1.05345345,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000060.SZ,,rejected_signal,,23.062925,,0.88749677,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000061.SZ,,rejected_signal,,13.757316,,1.03221822,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
2026-08-10,000062.SZ,,rejected_signal,,3.979014,,0.74931455,,未满足 MA5>MA10>MA20>MA60; 20日动量低于门槛; 60日趋势强度不足
2026-08-10,000063.SZ,,rejected_signal,,7.205791,,0.93821269,,未满足 MA5>MA10>MA20>MA60; 收盘价低于MA20; 20日动量低于门槛; 60日趋势强度不足
2026-08-10,000065.SZ,,rejected_signal,,11.03079,,0.87273133,,未满足 MA5>MA10>MA20>MA60; 60日趋势强度不足
